cpt code  Major Category                                    Minor category                                    CPT description
69210     Surgery                                           Auditory                                          69210 Remove Impacted Ear Wax 
92550     Medicine                                          ENT                                               92550 Tympanometry & reflex thresh
99235     E&M                                               Moderate/High Severity                            99235 Observ/Hosp Same Date 
73510     Radiology                                         Lower Extremities                                 73510 X-Ray Exam of Hip 
31540     Surgery                                           Respiratory System                                31540 Operative Laryngoscopy 
88321     Pathology                                         Surgical Pathology                                88321 Microslide Consultation 
99305     E&M                                               Low/Moderate Severity                             99305 Nursing facility care init
64635     Surgery                                           Nervous                                           64635 Destroy lumb/sac facet jnt
85097     Pathology                                         Hematology/Coagulation                            85097 Bone Marrow Interpretation 
73010     Radiology                                         Upper Extremities                                 73010 X-Ray Exam of Shoulder Blade 
98942     Medicine                                          Other                                             98942 Chiropractic Manipulation 
95971     Medicine                                          Neurology                                         95971 Simple Neurostim Analyze 
72100     Radiology                                         Spine & Pelvis                                    72100 X-Ray Exam of Lower Spine 
J7321     HCPCS Codes                                       Drugs Admin Other Than Oral Method                J7321 Hyalgan/supartz inj per dose
Q4022     HCPCS Codes                                       Temporary Codes                                   Q4022 Cast sup sht arm splint fbrg
37607     Surgery                                           Cardiovascular - Arteries/Veins                   37607 Ligation of Fistula 
01480     Anesthesia                                        Anesthesia                                        01480 Anesth, Lower Leg Bone Surg 
78708     Radiology                                         Nuclear Medicine                                  78708 Kidney Flow & Function Image 
40830     Surgery                                           Digestive - Mouth/Esophagus                       40830 Repair Mouth Laceration 
22612     Surgery                                           Muscuoskeletal - Back/Spine/Abdomen               22612 Lumbar Spine Fusion 
91010     Medicine                                          Gastroenterology                                  91010 Esophagus Motility Study 
87088     Pathology                                         Microbiology                                      87088 Urine Bacteria Culture 
96567     Medicine                                          Unknown                                           96567 Photodynamic tx, skin
95811     Medicine                                          Neurology                                         95811 Polysomnography w/CPAP
12053     Surgery                                           Integumentary                                     12053 Layer Closure of Wound(s) 
G0438     HCPCS Codes                                       Temporary Codes                                   G0438 PPPS, initial visit
99223     E&M                                               Low/Moderate Severity                             99223 Initial Hospital Care 
90792     Medicine                                          Therapeutic Infusions/Injections (w/o chemo)      90792 Psych diag eval w/med srvcs
93975     Medicine                                          Non-Invasive Vascular and Diagnostic              93975 Vascular Study 
84480     Pathology                                         Chemistry                                         84480 Assay Triiodothyronine (T-3) 
27130     Surgery                                           Muscuoskeletal - Pelvis/Hip/Leg/Ankle/Foot        27130 Total Hip Replacement 
63048     Surgery                                           Nervous                                           63048 Remove Spinal Lamina Add-on 
95117     Medicine                                          Allergy & Immunology                              95117 Immunotherapy Injections 
G0009     HCPCS Codes                                       Temporary Codes                                   G0009 Admin pneumococcal vaccine
82043     Pathology                                         Chemistry                                         82043 Microalbumin, Quantitative 
25275     Surgery                                           Muscuoskeletal - Shoulder/Arm/Hand                25275 Repair forearm tendon sheath
76815     Radiology                                         Diagnostic Ultrasound                             76815 ECHO Exam of Pregnant Uterus 
74183     Radiology                                         MRI                                               74183 Mri abdomen w/o&w dye
92025     Medicine                                          Ophthalmology                                     92025 Corneal topography
71035     Radiology                                         Head/Neck/Chest                                   71035 Chest X-Ray 
A0426     HCPCS Codes                                       Transportation                                    A0426 ALS 1
73130     Radiology                                         Upper Extremities                                 73130 X-Ray Exam of Hand 
83861     Pathology                                         Chemistry                                         83861 Microfluid analy tears
68761     Surgery                                           Eye                                               68761 Close Tear Duct Opening 
97530     Medicine                                          Other                                             97530 Therapeutic Activities 
82465     Pathology                                         Chemistry                                         82465 Assay Serum Cholesterol 
92547     Medicine                                          ENT                                               92547 Supplemental Electrical Test 
73020     Radiology                                         Upper Extremities                                 73020 X-Ray Exam of Shoulder 
99211     E&M                                               Low/Moderate Severity                             99211 Office/Outpatient Visit, Est 
J7611     HCPCS Codes                                       Drugs Admin Other Than Oral Method                J7611 Albuterol non-comp con
87206     Pathology                                         Microbiology                                      87206 Smear, Stain & Interpret 
64721     Surgery                                           Nervous                                           64721 Carpal Tunnel Surgery 
51797     Surgery                                           Urinary                                           51797 Intraabdominal Pressure Test 
88112     Pathology                                         Cytopathology/Cytogenetic                         88112 Cytopath, cell enhance tech
G0283     HCPCS Codes                                       Temporary Codes                                   G0283 Elec stim other than wound
93280     Medicine                                          Unknown                                           93280 Pm device progr eval dual
99205     E&M                                               Moderate/High Severity                            99205 Office/Outpatient Visit, New 
J0702     HCPCS Codes                                       Drugs Admin Other Than Oral Method                J0702 Betamethasone acet&sod phosp
Q0091     HCPCS Codes                                       Temporary Codes                                   Q0091 Obtaining screen pap smear
